,pc,pp
1335,27892,9703
1336,76946,9701
1337,48925,9701
1338,59253,9701
1339,114480,9699
1340,76420,9698
1341,26998,9696
1342,148460,9688
1343,102668,9687
1344,64771,9687
1345,53763,9685
1346,86492,9684
1347,53772,9682
1348,44853,9681
1349,41383,9678
1350,215299,9678
1351,133040,9677
1352,109494,9673
1353,138978,9673
1354,97090,9672
1355,90927,9671
1356,40944,9670
1357,83240,9670
1358,50915,9669
1359,88701,9668
1360,65296,9667
1361,144156,9667
1362,75919,9667
1363,21264,9666
1364,140690,9666
1365,151420,9665
1366,63447,9665
1367,133342,9664
1368,78199,9664
1369,34878,9664
1370,88168,9663
1371,27571,9658
1372,96552,9657
1373,44162,9657
1374,66408,9657
1375,46842,9654
1376,140526,9652
1377,106908,9651
1378,26230,9648
1379,95561,9646
1380,67359,9645
1381,78514,9644
1382,135411,9644
1383,118169,9643
1384,64894,9642
1385,169914,9642
1386,63292,9642
1387,166744,9641
1388,62476,9641
1389,102572,9640
1390,89034,9640
1391,34890,9639
1392,47461,9637
1393,64778,9637
1394,57226,9637
1395,85727,9634
1396,118101,9634
1397,88031,9630
1398,114669,9629
1399,86596,9629
1400,52187,9627
1401,85402,9626
1402,112680,9625
1403,66622,9625
1404,67117,9625
1405,62064,9625
1406,113125,9624
1407,52925,9624
1408,55922,9623
1409,85915,9622
1410,17698,9621
1411,42411,9621
1412,50806,9620
1413,97558,9620
1414,175436,9620
1415,72157,9618
1416,40392,9617
1417,89333,9615
1418,69700,9615
1419,101347,9614
1420,174399,9612
1421,56735,9612
1422,141275,9612
1423,70909,9611
1424,65599,9611
1425,89737,9610
1426,154370,9609
1427,211108,9608
1428,70013,9606
1429,87360,9606
1430,63056,9605
1431,47940,9605
1432,69719,9604
1433,117251,9604
1434,100727,9603
1435,78319,9602
1436,92224,9599
1437,32216,9598
1438,149222,9593
1439,63767,9593
1440,9459,9593
1441,154274,9592
1442,80708,9592
1443,118332,9591
1444,114567,9591
1445,151000,9590
1446,114890,9588
1447,68388,9588
1448,72988,9587
1449,31804,9586
1450,16349,9586
1451,64678,9585
1452,55491,9585
1453,63059,9584
1454,103092,9584
1455,71038,9584
1456,47589,9584
1457,33377,9581
1458,63995,9579
1459,29126,9576
1460,72806,9576
1461,105816,9575
1462,99669,9575
1463,103281,9573
1464,67935,9572
1465,96409,9572
1466,129685,9571
1467,149400,9570
1468,143269,9570
1469,69738,9569
1470,73848,9568
1471,118971,9567
1472,98569,9566
1473,110827,9565
1474,65678,9564
1475,32593,9564
1476,120792,9563
1477,107153,9562
1478,105674,9560
1479,41980,9560
1480,67219,9558
1481,108544,9558
1482,83743,9556
1483,68280,9555
1484,124758,9554
1485,64904,9553
1486,34111,9553
1487,140745,9551
1488,90175,9549
1489,89334,9549
1490,121917,9549
1491,101249,9548
1492,75956,9546
1493,107664,9546
1494,168870,9544
1495,88494,9542
1496,74678,9541
1497,99240,9541
1498,99593,9541
1499,96102,9540
1500,31152,9540
1501,178161,9538
1502,105274,9538
1503,120083,9537
1504,166534,9536
1505,86041,9535
1506,125070,9534
1507,171877,9531
1508,50518,9531
1509,66326,9531
1510,37549,9530
1511,188939,9529
1512,84420,9529
1513,41858,9528
1514,69140,9528
1515,55803,9528
1516,86149,9527
1517,83350,9526
1518,45902,9526
1519,76005,9525
1520,69935,9524
1521,88889,9524
1522,57591,9523
1523,114273,9523
1524,46440,9522
1525,182854,9520
1526,159422,9519
1527,69589,9517
1528,70100,9517
1529,105659,9515
1530,110170,9515
1531,212310,9514
1532,67192,9513
1533,40699,9511
1534,83131,9510
1535,93198,9508
1536,30337,9508
1537,93705,9508
1538,96816,9507
1539,73018,9503
1540,66535,9499
1541,80344,9499
1542,122001,9498
1543,63889,9498
1544,112740,9498
1545,140204,9497
1546,48341,9494
1547,119897,9493
1548,90316,9492
1549,189016,9492
1550,84354,9491
1551,128177,9491
1552,97760,9491
1553,40391,9487
1554,138581,9487
1555,46729,9486
1556,74255,9486
1557,59619,9486
1558,50676,9486
1559,179332,9485
1560,139699,9485
1561,189209,9481
1562,44402,9481
1563,84409,9480
1564,102288,9479
1565,78704,9479
1566,217925,9478
1567,100770,9478
1568,88835,9477
1569,107705,9477
1570,89451,9475
1571,65062,9473
1572,94196,9473
1573,82618,9472
1574,142454,9471
1575,88768,9470
1576,109299,9469
1577,96707,9469
1578,169003,9468
1579,36935,9468
1580,96337,9467
1581,41810,9467
1582,15936,9463
1583,159678,9461
1584,158018,9460
1585,96513,9460
1586,112338,9459
1587,115352,9459
1588,91186,9458
1589,69567,9457
1590,118338,9457
1591,146886,9457
1592,17310,9456
1593,96664,9455
1594,95308,9454
1595,84074,9454
1596,95750,9452
1597,100943,9450
1598,73309,9450
1599,128277,9449
1600,102058,9447
1601,65851,9443
1602,42103,9442
1603,154174,9442
1604,65110,9441
1605,115108,9441
1606,37667,9441
1607,9216,9440
1608,63275,9440
1609,100837,9440
1610,131165,9438
1611,98695,9438
1612,39859,9438
1613,52783,9436
1614,108024,9436
1615,82795,9436
1616,113498,9435
1617,142237,9433
1618,134161,9433
1619,149723,9433
1620,153765,9432
1621,68513,9427
